EU rejects German call to boycott British lamb .	B-ORG O B-MISC O O O B-MISC O O
An estimated 50,000 Algerians and more than 110 foreigners have been killed in Algeria 's violence pitting Moslem rebels against the Algerian government forces since early 1992 , when the authorities cancelled a general election in which radical Islamists took a commanding lead .	O O O B-MISC O O O O O O O O O B-LOC O O O B-MISC O O O B-MISC O O O O O O O O O O O O O O O O B-MISC O O O O O
German flown cargo January-July rise 3.8 percent .	B-MISC O O O O O O O
FRANKFURT 1996-08-22	B-LOC O
The following table shows total flown air cargo volumes in tonnes handled at international German airports January-July 1996 .	O O O O O O O O O O O O O O B-MISC O O O O
The figures exclude trucked airfreight according to the German airports association ADV .	O O O O O O O O B-MISC O O B-ORG O
Berlin ( total ) 17,844 up 5.9 pct	B-LOC O O O O O O O
- Tegel 10,896 up 3.1	O B-LOC O O O
- Tempelhof 202 down 60.0	O B-LOC O O O
- Schoenefeld 6,746 up 16.8	O B-LOC O O O
Bremen 1,453 up 13.1	B-LOC O O O
Dresden 792 up 11.4	B-LOC O O O
Duessseldorf 31,347 down 4.4	B-LOC O O O
Frankfurt 768,269 up 1.5	B-LOC O O O
Hamburg 21,240 down 3.5	B-LOC O O O
Hannover 6,030 up 15.3	B-LOC O O O
Koeln ( Cologne ) 182,887 up 11.8	B-LOC O B-LOC O O O O
Leipzig / Halle 1,806 up 45.6	B-LOC O B-LOC O O O
Munich 44,525 up 11.8	B-LOC O O O
Muenster / Osnabrueck 382 up 28.2	B-LOC O B-LOC O O O
Nuremberg 25,929 up 17.8	B-LOC O O O
Saarbruecken 626 up 28.3	B-LOC O O O
Stuttgart 10,655 up 11.7	B-LOC O O O
TOTAL 1,113,785 up 3.8	O O O O
- Air Cargo Newsroom Tel+44 161 542 7706 Fax+44 171 542 5017	O B-ORG I-ORG I-ORG O O O O O O O O
Paribas repeats buy on Aegon after results .	B-ORG O O O B-ORG O O O
AMSTERDAM 1996-08-22	B-LOC O
Summary of Aug 22 research .	O O O O O O
Company-------------Price---Broker----------------	O
Aegon 83.40 Paribas	B-ORG O B-ORG
COMMENT : " Not only did Aegon surprise with earnings of 711 million guilders , which were above the top of the expected range , it also forecast a similar performance in the second half . "	O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Reiterates previous " buy " recommendation after results .	O O O O O O O O O
Estimates ( Dfl ) : EPS P / E Dividend	O O B-MISC O O O O O O O
1996 5.83 13.8 2.75	O O O O
1997 6.59 12.2 3.10	O O O O
-- Amsterdam newsroom , +31 20 504 5000 ( Fax +31 20 504 5040 )	O B-LOC O O O O O O O O O O O O O
Clinton 's Ballybunion fans invited to Chicago .	B-PER O B-ORG O O O B-LOC O
DUBLIN 1996-08-22	B-LOC O
U.S. President Bill Clinton had to drop the resort of Ballybunion from a whirlwind Irish tour last year .	B-LOC O B-PER I-PER O O O O O O B-ORG O O O B-MISC O O O O
So Ballybunion is going to America instead .	O B-ORG O O O B-LOC O O
Two residents of the Atlantic resort , where Clinton was to have played golf with the Irish Foreign Minister Dick Spring , have been invited to the Democratic party convention in Chicago on August 26-29 .	O O O O B-LOC O O O B-PER O O O O O O O B-MISC O O B-PER I-PER O O O O O O B-MISC O O O B-LOC O O O O
They have been asked to bring with them the placards they waved when Clinton addressed Ireland at a packed ceremony in Dublin city centre on December 1 , last year .	O O O O O O O O O O O O O B-PER O B-LOC O O O O O B-LOC O O O O O O O O O
They read : " Ballybunion backs Clinton . "	O O O O B-ORG O B-PER O O
" The Democratic party have requested we bring our placards with us .	O O B-MISC O O O O O O O O O O
We will be guests of the Kennedys , " said Frank Quilter , one of the two who have been invited to Chicago .	O O O O O O B-PER O O O B-PER I-PER O O O O O O O O O O B-LOC O
Clinton made a triumphant Irish tour to back a Northern Ireland peace process but was forced to drop Ballybunion from a packed schedule at the last minute .	B-PER O O O B-MISC O O O O B-LOC I-LOC O O O O O O O B-ORG O O O O O O O O O
Bonn says Moscow has promised to observe ceasefire .	B-LOC O B-LOC O O O O O O
BONN 1996-08-22	B-LOC O
Germany said on Thursday it had received assurances from the Russian government that its forces would observe the latest ceasefire in Chechnya .	B-LOC O O O O O O O O O B-MISC O O O O O O O O O O B-LOC O
Foreign Ministry spokesman Martin Erdmann said top Bonn diplomat Wolfgang Ischinger had been assured by senior Russian officials that the ultimatum to storm and take the Chechen capital of Grozny was not valid .	B-ORG I-ORG O B-PER I-PER O O B-LOC O B-PER I-PER O O O O O B-MISC O O O O O O O O O B-MISC O O B-LOC O O O O
" The Russian side confirmed that the ceasefire is in place and they will keep to it , " Erdmann told Reuters after speaking by telephone to Ischinger , who had met the officials on a two-day visit to Moscow .	O O B-MISC O O O O O O O O O O O O O O O O B-PER O B-ORG O O O O O B-PER O O O O O O O O O O O B-LOC O
He returned to Bonn on Thursday .	O O O B-LOC O O O
Ischinger is the political director of Bonn 's foreign ministry .	B-PER O O O O O B-LOC O O O O
Ischinger said he met three Russian deputy foreign ministers and a vice defence minister , who confirmed Russian Foreign Minister Yevgeny Primakov 's pledge that Moscow would seek a political solution under the aegis of the Organisation for Security and Cooperation in Europe ( OSCE ) .	B-PER O O O O B-MISC O O O O O O O O O O O B-MISC O O B-PER I-PER O O O B-LOC O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O
" The ultimatum ( to storm Grozny ) is no longer an issue , " he said quoting Ischinger , who had been sent to Moscow by German Foreign Minister Klaus Kinkel as his personal envoy to urge an end to Moscow 's military campaign in the breakaway region .	O O O O O O B-LOC O O O O O O O O O O O B-PER O O O O O O B-LOC O B-MISC O O B-PER I-PER O O O O O O O O O B-LOC O O O O O O O O
Ischinger said the threat of a major assault to take Grozny had been the unauthorised initiative of the commanding general and not Moscow 's intention .	B-PER O O O O O O O O O B-LOC O O O O O O O O O O O B-LOC O O O
The officials had been positive about Kinkel 's request on Wednesday that President Boris Yeltsin 's security chief Alexander Lebed should , on his return to Moscow , meet Tim Goldiman , the OSCE representative responsible for Chechnya , he said .	O O O O O O B-PER O O O O O O B-PER I-PER O O O B-PER I-PER O O O O O O B-LOC O O B-PER I-PER O O B-ORG O O O B-LOC O O O O
India says sees no arms race with China , Pakistan .	B-LOC O O O O O O B-LOC O B-LOC O
NEW DELHI 1996-08-22	B-LOC I-LOC O
India said on Thursday that its opposition to a global nuclear test ban treaty did not mean New Delhi intended to enter into an arms race with neighbouring Pakistan and China .	B-LOC O O O O O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O O B-LOC O B-LOC O
Foreign Minister I.K. Gujral was asked at a news conference if India 's decision to block adoption of the accord in Geneva would lead to an arms race with Pakistan and China .	O O B-PER I-PER O O O O O O O B-LOC O O O O O O O O O B-LOC O O O O O O O B-LOC O B-LOC O
" I do n't see that possibility because India is not entering into any arms race , " he said . "	O O O O O O O O B-LOC O O O O O O O O O O O O O
Our not signing a new treaty does not mean we are going in for any new kind of weapons , particularly nuclear . "	O O O O O O O O O O O O O O O O O O O O O O O O
China , along with Britain , France , Russia and the United States , is a declared nuclear power .	B-LOC O O O B-LOC O B-LOC O B-LOC O O B-LOC I-LOC O O O O O O O
India carried out a nuclear test in 1974 but says it has not built the bomb .	B-LOC O O O O O O O O O O O O O O O O
Experts believe both India and Pakistan could quickly assemble nuclear weapons .	O O O B-LOC O B-LOC O O O O O O
Gujral said he did not expect India 's veto of the Comprehensive Test Ban Treaty ( CTBT ) to damage bilateral ties with other nations .	B-PER O O O O O B-LOC O O O O B-MISC I-MISC I-MISC I-MISC O B-MISC O O O O O O O O O
" I do not visualise its straining our bilateral relations with any country .	O O O O O O O O O O O O O O
The text has already been blocked , " he said .	O O O O O O O O O O O
Gujral said India would re-examine its position if the treaty , particularly a clause providing for its entry into force , was modified .	B-PER O B-LOC O O O O O O O O O O O O O O O O O O O O O
Asked what India would do if the pact were forwarded to the United Nations General Assembly , Gujral said : " That bridge I will cross when I come to it . "	O O B-LOC O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O B-PER O O O O O O O O O O O O O O O
In a written statement released at the news conference , Gujral reiterated India 's objections to the treaty , under negotiation at the Conference on Disarmament in Geneva .	O O O O O O O O O O B-PER O B-LOC O O O O O O O O O O B-MISC I-MISC I-MISC O B-LOC O
" It is a sad fact that the nuclear weapon states show no interest in giving up their nuclear hegemony , " the statement said .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Gujral said India had national security concerns that made it impossible for New Delhi to sign the CTBT .	B-PER O B-LOC O O O O O O O O O B-LOC I-LOC O O O B-MISC O
" Our security concerns oblige us to maintain our nuclear option , " he said , adding that India had exercised restraint in not carrying out any nuclear tests since the country 's lone test blast in 1974 .	O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O
He said : " We cannot accept constraints on our option as long as nuclear weapon states continue to rely on their nuclear arsenals for their security " .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Britain says death of its citizen will sour ties .	B-LOC O O O O O O O O O
DHAKA 1996-08-22	B-LOC O
A British minister expressed his government 's official disquiet on Thursday at the recent death of a British citizen of Bangladeshi origin at Dhaka airport .	O B-MISC O O O O O O O O O O O O O O O B-MISC O O B-MISC O O B-LOC O O
" I have told Bangladesh leaders that British goverment has attached serious importance to the resolution of the tragic death of Siraj Mia , " Under-Secretary of State for Foreign and Commonwealth Affairs Liam Fox Fox , told reporters .	O O O O B-LOC O O B-MISC O O O O O O O O O O O O O B-PER I-PER O O O O O O O O B-ORG O B-PER I-PER I-PER O O O O
Siraj Mia died at Dhaka airport on May 9 during interogation by customs officials after arriving from London .	B-PER I-PER O O B-LOC O O O O O O O O O O O O B-LOC O
His body bore multiple injuries , and his relatives complained that he was murdered .	O O O O O O O O O O O O O O O
A post-mortem report suggested he might have been tortured .	O O O O O O O O O O
But customs authorities said the passenger was drunk and died of loss of blood from a deep cut in his wrist after he hit a glass sheet .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Fox , who arrived in Bangladesh on Tuesday on four-day visit , said Britain wanted Dhaka to act seriously on the case .	B-PER O O O O B-LOC O O O O O O O B-LOC O B-LOC O O O O O O O
" This is one of the reasons of my visit here ...	O O O O O O O O O O O O
this is an important issue in our relationship " , said Fox , who is due to leave for Nepal on Friday .	O O O O O O O O O O O B-PER O O O O O O O B-LOC O O O
Fox said the incident had strained relations between the two governments .	B-PER O O O O O O O O O O O
He said the Mia 's issue had been raised in the House of Commons .	O O O B-PER O O O O O O O B-ORG I-ORG I-ORG O
Fox said he had brought up the issue at every meeting he had had with government leaders in Dhaka .	B-PER O O O O O O O O O O O O O O O O O B-LOC O
He said the Bangladesh government had assured him it was taking the matter seriously .	O O O B-LOC O O O O O O O O O O O
" The British government wants a thorough investigation and a just outcome , " he said .	O O B-MISC O O O O O O O O O O O O O O
Fox said the British government wanted an end to the alleged harassment of its nationals at Dhaka airport by customs officials .	B-PER O O B-MISC O O O O O O O O O O O O B-LOC O O O O O
Bangladesh 's Criminal Investigation Department has charged two immigration officials in connection with Mia 's killing .	B-LOC O B-ORG I-ORG I-ORG O O O O O O O O B-PER O O O
Mia , a father of five children , had a restaurant business in a London suburb .	B-PER O O O O O O O O O O O O O B-LOC O O
India fears attempts to disrupt Kashmir polls .	B-LOC O O O O B-LOC O O
SRINAGAR , India 1996-08-22	B-LOC O B-LOC O
India 's Home ( interior ) Minister accused Pakistan on on Thursday of planning to disrupt state elections in troubled Jammu and Kashmir state .	B-LOC O O O O O O O B-LOC O O O O O O O O O O O B-LOC O B-LOC O O
" It seems that from across the border there is going to be a planned attempt to disrupt the elections , " Inderjit Gupta told reporters in the state capital Srinagar .	O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O B-LOC O
The local polls next month will be the first since 1987 in the state , clamped under direct rule from New Delhi since 1990 .	O O O O O O O O O O O O O O O O O O O O B-LOC I-LOC O O O
